"iso3c","year","loss"
"AFG",2001,88
"AFG",2002,179
"AFG",2003,244
"AFG",2004,201
"AFG",2005,236
"AFG",2006,152
"AFG",2007,253
"AFG",2008,107
"AFG",2009,70
"AFG",2010,88
"AFG",2011,113
"AFG",2012,39
"AFG",2013,1
"AFG",2014,3
"AFG",2015,0
"AFG",2016,0
"AFG",2017,0
"AFG",2018,26
"AFG",2019,17
"AFG",2020,37
"AFG",2021,26
"ALB",2001,3729
"ALB",2002,890
"ALB",2003,614
"ALB",2004,3237
"ALB",2005,695
"ALB",2006,963
"ALB",2007,5225
"ALB",2008,5471
"ALB",2009,1337
"ALB",2010,656
"ALB",2011,1188
"ALB",2012,5396
"ALB",2013,2570
"ALB",2014,1052
"ALB",2015,284
"ALB",2016,928
"ALB",2017,1689
"ALB",2018,2049
"ALB",2019,1074
"ALB",2020,1118
"ALB",2021,1686
"DZA",2001,3469
"DZA",2002,3010
"DZA",2003,3831
"DZA",2004,4374
"DZA",2005,4470
"DZA",2006,5415
"DZA",2007,5202
"DZA",2008,7972
"DZA",2009,10467
"DZA",2010,2606
"DZA",2011,8344
"DZA",2012,10913
"DZA",2013,6927
"DZA",2014,9523
"DZA",2015,5707
"DZA",2016,8011
"DZA",2017,45979
"DZA",2018,5764
"DZA",2019,6291
"DZA",2020,13073
"DZA",2021,20473
"AND",2001,2
"AND",2002,1
"AND",2003,0
"AND",2004,23
"AND",2005,2
"AND",2006,7
"AND",2007,2
"AND",2008,5
"AND",2009,3
"AND",2010,1
"AND",2011,1
"AND",2012,8
"AND",2013,3
"AND",2014,1
"AND",2015,2
"AND",2016,1
"AND",2017,3
"AND",2018,15
"AND",2019,8
"AND",2020,27
"AND",2021,2
"AGO",2001,101221
"AGO",2002,61034
"AGO",2003,52462
"AGO",2004,71274
"AGO",2005,93435
"AGO",2006,76940
"AGO",2007,145287
"AGO",2008,103582
"AGO",2009,165948
"AGO",2010,159806
"AGO",2011,182928
"AGO",2012,180755
"AGO",2013,168841
"AGO",2014,212662
"AGO",2015,161719
"AGO",2016,229710
"AGO",2017,280456
"AGO",2018,242552
"AGO",2019,175098
"AGO",2020,248028
"AGO",2021,298294
"AIA",2001,4
"AIA",2002,0
"AIA",2003,1
"AIA",2004,9
"AIA",2005,4
"AIA",2006,1
"AIA",2007,9
"AIA",2008,10
"AIA",2009,2
"AIA",2010,0
"AIA",2011,1
"AIA",2012,2
"AIA",2013,1
"AIA",2014,0
"AIA",2015,0
"AIA",2016,0
"AIA",2017,1
"AIA",2018,0
"AIA",2019,0
"AIA",2020,0
"AIA",2021,2
"ATG",2001,24
"ATG",2002,18
"ATG",2003,17
"ATG",2004,25
"ATG",2005,61
"ATG",2006,61
"ATG",2007,37
"ATG",2008,46
"ATG",2009,62
"ATG",2010,19
"ATG",2011,26
"ATG",2012,33
"ATG",2013,21
"ATG",2014,25
"ATG",2015,9
"ATG",2016,14
"ATG",2017,72
"ATG",2018,163
"ATG",2019,23
"ATG",2020,15
"ATG",2021,39
"ARG",2001,147806
"ARG",2002,105002
"ARG",2003,249155
"ARG",2004,433430
"ARG",2005,367249
"ARG",2006,316447
"ARG",2007,425345
"ARG",2008,592753
"ARG",2009,309858
"ARG",2010,413231
"ARG",2011,499187
"ARG",2012,478178
"ARG",2013,376777
"ARG",2014,241103
"ARG",2015,180233
"ARG",2016,230189
"ARG",2017,233920
"ARG",2018,172958
"ARG",2019,145444
"ARG",2020,197379
"ARG",2021,201882
"ARM",2001,132
"ARM",2002,173
"ARM",2003,396
"ARM",2004,83
"ARM",2005,104
"ARM",2006,130
"ARM",2007,55
"ARM",2008,113
"ARM",2009,203
"ARM",2010,162
"ARM",2011,174
"ARM",2012,198
"ARM",2013,42
"ARM",2014,38
"ARM",2015,2
"ARM",2016,30
"ARM",2017,42
"ARM",2018,6
"ARM",2019,1
"ARM",2020,19
"ARM",2021,5
"ABW",2001,0
"ABW",2002,1
"ABW",2003,1
"ABW",2004,0
"ABW",2005,0
"ABW",2006,0
"ABW",2007,0
"ABW",2008,0
"ABW",2009,0
"ABW",2010,0
"ABW",2011,0
"ABW",2012,0
"ABW",2013,0
"ABW",2014,0
"ABW",2015,0
"ABW",2016,0
"ABW",2017,0
"ABW",2018,0
"ABW",2019,0
"ABW",2020,0
"ABW",2021,0
"AUS",2001,218816
"AUS",2002,312150
"AUS",2003,373847
"AUS",2004,124769
"AUS",2005,177023
"AUS",2006,186304
"AUS",2007,372716
"AUS",2008,205725
"AUS",2009,203709
"AUS",2010,290723
"AUS",2011,121316
"AUS",2012,139803
"AUS",2013,260094
"AUS",2014,281737
"AUS",2015,261571
"AUS",2016,430899
"AUS",2017,236868
"AUS",2018,250749
"AUS",2019,1661548
"AUS",2020,2356303
"AUS",2021,261044
"AUT",2001,6926
"AUT",2002,10902
"AUT",2003,14476
"AUT",2004,14599
"AUT",2005,21657
"AUT",2006,12584
"AUT",2007,31670
"AUT",2008,26896
"AUT",2009,15887
"AUT",2010,16713
"AUT",2011,18090
"AUT",2012,11158
"AUT",2013,7645
"AUT",2014,9870
"AUT",2015,7938
"AUT",2016,17210
"AUT",2017,18406
"AUT",2018,26310
"AUT",2019,33642
"AUT",2020,25937
"AUT",2021,16652
"AZE",2001,553
"AZE",2002,1154
"AZE",2003,1039
"AZE",2004,585
"AZE",2005,246
"AZE",2006,525
"AZE",2007,508
"AZE",2008,472
"AZE",2009,372
"AZE",2010,550
"AZE",2011,147
"AZE",2012,598
"AZE",2013,149
"AZE",2014,328
"AZE",2015,27
"AZE",2016,25
"AZE",2017,80
"AZE",2018,75
"AZE",2019,12
"AZE",2020,23
"AZE",2021,85
"BHS",2001,433
"BHS",2002,701
"BHS",2003,274
"BHS",2004,588
"BHS",2005,1450
"BHS",2006,1016
"BHS",2007,605
"BHS",2008,1949
"BHS",2009,824
"BHS",2010,401
"BHS",2011,625
"BHS",2012,371
"BHS",2013,1573
"BHS",2014,902
"BHS",2015,1089
"BHS",2016,3136
"BHS",2017,3704
"BHS",2018,914
"BHS",2019,1558
"BHS",2020,2696
"BHS",2021,1549
"BHR",2001,0
"BHR",2002,0
"BHR",2003,0
"BHR",2004,0
"BHR",2005,0
"BHR",2006,0
"BHR",2007,0
"BHR",2008,0
"BHR",2009,0
"BHR",2010,0
"BHR",2011,0
"BHR",2012,0
"BHR",2013,0
"BHR",2014,0
"BHR",2015,0
"BHR",2016,0
"BHR",2017,0
"BHR",2018,0
"BHR",2019,0
"BHR",2020,0
"BHR",2021,0
"BGD",2001,4587
"BGD",2002,3995
"BGD",2003,2159
"BGD",2004,4283
"BGD",2005,3293
"BGD",2006,6863
"BGD",2007,3995
"BGD",2008,4480
"BGD",2009,5625
"BGD",2010,4668
"BGD",2011,4181
"BGD",2012,5359
"BGD",2013,6022
"BGD",2014,12061
"BGD",2015,12604
"BGD",2016,21196
"BGD",2017,28377
"BGD",2018,19343
"BGD",2019,22079
"BGD",2020,21475
"BGD",2021,17587
"BRB",2001,12
"BRB",2002,11
"BRB",2003,3
"BRB",2004,8
"BRB",2005,10
"BRB",2006,4
"BRB",2007,32
"BRB",2008,14
"BRB",2009,13
"BRB",2010,17
"BRB",2011,18
"BRB",2012,117
"BRB",2013,5
"BRB",2014,2
"BRB",2015,2
"BRB",2016,14
"BRB",2017,16
"BRB",2018,23
"BRB",2019,54
"BRB",2020,22
"BRB",2021,17
"BLR",2001,18359
"BLR",2002,25383
"BLR",2003,32119
"BLR",2004,38597
"BLR",2005,36192
"BLR",2006,42269
"BLR",2007,32657
"BLR",2008,35896
"BLR",2009,35543
"BLR",2010,35754
"BLR",2011,45367
"BLR",2012,39591
"BLR",2013,28085
"BLR",2014,33626
"BLR",2015,33899
"BLR",2016,90487
"BLR",2017,78767
"BLR",2018,87447
"BLR",2019,75049
"BLR",2020,68932
"BLR",2021,63479
"BEL",2001,971
"BEL",2002,2348
"BEL",2003,1890
"BEL",2004,4793
"BEL",2005,3028
"BEL",2006,6916
"BEL",2007,5985
"BEL",2008,7214
"BEL",2009,5176
"BEL",2010,10909
"BEL",2011,5016
"BEL",2012,5635
"BEL",2013,3315
"BEL",2014,4239
"BEL",2015,3420
"BEL",2016,4512
"BEL",2017,4137
"BEL",2018,4631
"BEL",2019,5577
"BEL",2020,5409
"BEL",2021,9143
"BLZ",2001,8212
"BLZ",2002,13474
"BLZ",2003,6844
"BLZ",2004,4312
"BLZ",2005,8104
"BLZ",2006,4270
"BLZ",2007,12264
"BLZ",2008,8216
"BLZ",2009,10264
"BLZ",2010,9766
"BLZ",2011,26386
"BLZ",2012,11528
"BLZ",2013,16373
"BLZ",2014,16465
"BLZ",2015,12271
"BLZ",2016,20511
"BLZ",2017,16366
"BLZ",2018,11164
"BLZ",2019,18373
"BLZ",2020,26512
"BLZ",2021,9290
"BEN",2001,3749
"BEN",2002,3480
"BEN",2003,3476
"BEN",2004,684
"BEN",2005,1591
"BEN",2006,1795
"BEN",2007,4660
"BEN",2008,482
"BEN",2009,4929
"BEN",2010,529
"BEN",2011,655
"BEN",2012,2865
"BEN",2013,1313
"BEN",2014,1358
"BEN",2015,598
"BEN",2016,2016
"BEN",2017,2238
"BEN",2018,1826
"BEN",2019,775
"BEN",2020,1606
"BEN",2021,1705
"BMU",2001,0
