"year","type","number"
1970,"drought",2
1970,"flood",31
1970,"storm",24
1970,"wildfire",1
1971,"drought",6
1971,"temperature",1
1971,"flood",15
1971,"storm",22
1972,"drought",4
1972,"temperature",2
1972,"flood",15
1972,"storm",26
1973,"drought",3
1973,"temperature",3
1973,"flood",20
1973,"storm",22
1973,"wildfire",2
1974,"drought",3
1974,"flood",17
1974,"storm",28
1975,"drought",1
1975,"temperature",3
1975,"flood",17
1975,"storm",25
1976,"drought",10
1976,"flood",16
1976,"storm",30
1976,"wildfire",1
1977,"drought",13
1977,"temperature",1
1977,"flood",47
1977,"storm",29
1977,"wildfire",1
1978,"drought",8
1978,"temperature",1
1978,"flood",47
1978,"storm",38
1978,"wildfire",1
1979,"drought",11
1979,"temperature",4
1979,"flood",34
1979,"storm",30
1979,"wildfire",1
1980,"drought",24
1980,"temperature",3
1980,"flood",39
1980,"storm",36
1980,"wildfire",1
1981,"drought",18
1981,"temperature",2
1981,"flood",41
1981,"storm",47
1981,"wildfire",2
1982,"drought",6
1982,"temperature",3
1982,"flood",48
1982,"storm",51
1982,"wildfire",2
1983,"drought",26
1983,"temperature",2
1983,"flood",48
1983,"storm",55
1983,"wildfire",11
1984,"drought",6
1984,"temperature",1
1984,"flood",46
1984,"storm",53
1984,"wildfire",7
1985,"drought",3
1985,"temperature",8
1985,"flood",57
1985,"storm",49
1985,"wildfire",12
1986,"drought",4
1986,"temperature",2
1986,"flood",49
1986,"storm",53
1986,"wildfire",5
1987,"drought",15
1987,"temperature",5
1987,"flood",66
1987,"storm",57
1987,"wildfire",7
1988,"drought",17
1988,"temperature",6
1988,"flood",75
1988,"storm",60
1989,"drought",7
1989,"temperature",5
1989,"flood",46
1989,"storm",72
1989,"wildfire",2
1990,"drought",20
1990,"temperature",13
1990,"flood",60
1990,"storm",135
1990,"wildfire",4
1991,"drought",12
1991,"temperature",8
1991,"flood",75
1991,"storm",66
1991,"wildfire",8
1992,"drought",11
1992,"temperature",7
1992,"flood",59
1992,"storm",76
1992,"wildfire",8
1993,"drought",9
1993,"temperature",3
1993,"flood",84
1993,"storm",107
1993,"wildfire",2
1994,"drought",12
1994,"temperature",9
1994,"flood",88
1994,"storm",80
1994,"wildfire",13
1995,"drought",6
1995,"temperature",13
1995,"flood",93
1995,"storm",80
1995,"wildfire",7
1996,"drought",7
1996,"temperature",5
1996,"flood",92
1996,"storm",76
1996,"wildfire",4
1997,"drought",17
1997,"temperature",13
1997,"flood",95
1997,"storm",79
1997,"wildfire",15
1998,"drought",20
1998,"temperature",12
1998,"flood",94
1998,"storm",88
1998,"wildfire",18
1999,"drought",26
1999,"temperature",8
1999,"flood",122
1999,"storm",106
1999,"wildfire",21
2000,"drought",25
2000,"temperature",30
2000,"flood",157
2000,"storm",102
2000,"wildfire",30
2001,"drought",22
2001,"temperature",23
2001,"flood",156
2001,"storm",105
2001,"wildfire",14
2002,"drought",24
2002,"temperature",15
2002,"flood",171
2002,"storm",123
2002,"wildfire",22
2003,"drought",14
2003,"temperature",25
2003,"flood",158
2003,"storm",86
2003,"wildfire",14
2004,"drought",11
2004,"temperature",16
2004,"flood",128
2004,"storm",124
2004,"wildfire",8
2005,"drought",20
2005,"temperature",40
2005,"flood",191
2005,"storm",130
2005,"wildfire",13
2006,"drought",9
2006,"temperature",14
2006,"flood",226
2006,"storm",76
2006,"wildfire",9
2007,"drought",11
2007,"temperature",25
2007,"flood",217
2007,"storm",104
2007,"wildfire",18
2008,"drought",16
2008,"temperature",16
2008,"flood",165
2008,"storm",112
2008,"wildfire",5
2009,"drought",18
2009,"temperature",20
2009,"flood",151
2009,"storm",87
2009,"wildfire",9
2010,"drought",21
2010,"temperature",28
2010,"flood",184
2010,"storm",94
2010,"wildfire",7
2011,"drought",16
2011,"temperature",15
2011,"flood",156
2011,"storm",84
2011,"wildfire",8
2012,"drought",18
2012,"temperature",52
2012,"flood",136
2012,"storm",91
2012,"wildfire",6
2013,"drought",9
2013,"temperature",13
2013,"flood",148
2013,"storm",105
2013,"wildfire",10
2014,"drought",20
2014,"temperature",17
2014,"flood",137
2014,"storm",99
2014,"wildfire",4
2015,"drought",27
2015,"temperature",12
2015,"flood",161
2015,"storm",121
2015,"wildfire",13
2016,"drought",14
2016,"temperature",12
2016,"flood",159
2016,"storm",86
2016,"wildfire",10
2017,"drought",12
2017,"temperature",10
2017,"flood",127
2017,"storm",130
2017,"wildfire",15
2018,"drought",17
2018,"temperature",27
2018,"flood",128
2018,"storm",96
2018,"wildfire",10
2019,"drought",15
2019,"temperature",21
2019,"flood",195
2019,"storm",91
2019,"wildfire",14
2020,"drought",10
2020,"temperature",5
2020,"flood",202
2020,"storm",128
2020,"wildfire",9
2021,"drought",18
2021,"temperature",3
2021,"flood",222
2021,"storm",119
2021,"wildfire",19
